clave_unidad,nombre,simbolo
XEN,Sobre,
XFB,Bolsa flexible,
XFC,Cajón para fruta,
XFD,Cajón enmarcado,
XFE,Tanque flexible,
XFI,Firkin,
XFL,Matraz,
XFO,Cajón para zapatos,
XFP,Caja auxiliar para película fotográfica,
XFR,Marco,
XFT,Contenedor para alimentos,
XFW,Carro de cama plana,
XFX,Bolsa flexible tipo contenedor,
XGB,Botella para gas,
XGI,Viga,
XGL,Contenedor tipo galón,
XGR,Recipiente de vidrio,
XGU,Bandeja contenedor para apilar horizontalmente objetos planos,
XGY,Costal de Yute,
XGZ,Vigas con correas o agrupadas,
XHA,Cesta con mango y de plástico,
XHB,Cesta con mango y de madera,
XHC,Cesta  con asa y de  cartón,
XHG,Hogshead,
XHN,Gancho,
XHR,Cesto,
XIA,Paquete con pantalla y de madera,
XIB,Paquete  con pantalla y de cartón,
XIC,Paquete con pantalla y de plástico,
XID,Paquete con pantalla y de metal,
XIE,Paquete de mostrador.,
XIF,Envase para alimentos,
XIG,Paquete envuelto en papel,
XIH,Tambor de plástico,
XIK,Paquete de cartón con los agujeros para botellas,
XIL,Bandeja rígida con tapa y apilable (CEN TS 14482: 2002),
XIN,Lingote,
XIZ,Lingotes  con correas/ agrupados,
XJB,Bolsa jumbo,
XJC,Bidón rectangular,
XJG,Jarra,
XJR,Tarro,
XJT,Bolsa de yute,
XJY,"Bidón, cilíndrico",
XKG,Barrilete,
XKI,Kit (Conjunto de piezas),
XLE,Valijas,
XLG,Bitácora,
XLT,Lote,
XLU,Caja de arrastre,
XLV,Contenedor pequeño,
XLZ,Registros  con fleje/ agrupados/ armados,
XMA,Cajón metálico,
XMB,Múltiplo de bolsas,
XMC,Cajón para leche,
XME,Contenedor de metal,
XMR,Recipiente de metal,
XMS,Saco milti-pared,
XMT,Tapete,
XMW,Contenedor envuelto en plástico,
XMX,Caja pequeña de cerillos,
XNA,No disponible,
XNE,Sin empaque o no empaquetado,
XNF,"Sin empaque o no empaquetado, unidad simple",
XNG,"Sin empaque o no empaquetado, unidades múltiples",
XNS,Caja nido,
XNT,Red,
XNU,Red de plástico con tubo,
XNV,Red textil con tubo,
XOA,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 40 cm x 60 cm",
XOB,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 80 cm x 120 cm",
XOC,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 100 cm x 120 cm",
XOD,"Pallet, AS 4068-1993",
XOE,"Pallet, ISO T11",
XOF,"Plataforma, peso o dimensión no especificada",
XOK,Bloque,
XOT,Octabin,
XP2,Charola,
XPA,Cajetilla,
XPB,"Pallet, Caja combinada y abierta con caja y pallet.",
XPC,Paquete postal,
XPD,Pallet modular con collares (80cms * 100cms),
XPE,Pallet modular con collares (80cms * 120cms),
XPF,Corral,
XPG,Placa,
XPH,Cantaro,
XPI,Pleca,
XPJ,Canastilla,
XPK,Paquete,
XPL,Balde,
XPN,Tablón,
XPO,Bolsa pequeña,
XPR,Contenedor de plástico,
XPT,Maceta,
XPU,Cacerola,
XPV,"Tubos, con fleje/ agrupados/ armados",
XPX,Pallet,
XPY,Placas con fleje/ agrupados/ armados,
XPZ,Tablones con fleje/ agrupados/ armados,
XQA,Tambor de acero con cabeza no desmontable,
XQB,Tambor de  acero con cabeza extraíble,
XQC,Tambor de aluminio con cabeza no extraíble,
XQD,Tambor de aluminio con cabeza extraíble,
XQF,"Tambor, plástico con cabeza no desmontable",
XQG,"Tambor, plástico, cabeza extraíble",
XQH,Barril de madera con tapón,
XQJ,Barril de madera con cabeza desprendible,
XQK,Bidón de acero con cabeza no desmontable,
XQL,Bidón de acero con cabeza desmontable,
XQM,Bidón de plástico con cabeza no desmontable,
XQN,Bidón de plástico con cabeza extraíble,
XQP,Caja de madera natural estándar,
XQQ,Caja de madera natural con muros a prueba de filtraciones,
XQR,Caja de plástico expandida,
XQS,Caja de plástico sólida,
XRD,Rod,
XRG,Anillo,
XRJ,"Estante, Perchero para ropa",
XRK,Estante,
XRL,Carrete,
XRO,Rollo,
XRT,Red Roja,
XRZ,Varillas  con fleje/ agrupados/ armados,
XSA,Saco,
XSB,Losa,
XSC,Cajón poco profundo,
XSD,Huso,
XSE,Baúl,
XSH,Bolsa pequeña hermética,
XSI,Patín,
XSK,Carcasa esqueleto,
XSL,Hoja de deslizamiento,
XSM,Hoja de metal,
XSO,Carrete pequeño,
XSP,Hoja de empaque de plástico,
XSS,Cajón de acero,
XSU,Maleta,
XSV,Sobre de acero,
XSW,Envoltorio,
XSY,Manga,
XSZ,Hojas  con fleje/ agrupados/ armados,
XT1,Tableta,
XTB,Tina,
XTC,Caja para té,
XTD,Tubo plegable,
XTG,Contenedor de tanque genérico,
XTI,Tierce,
XTK,Tanque rectangular,
XTL,Tina con tapa,
XTN,Hojalata,
XTO,Tonel,
XTR,Maletero,
XTS,Estructura,
XTT,Bolsa de mano,
XTU,Tubo,
XTV,Tubo con boquilla,
XTW,Pallet tricapa,
XTY,Tanque cilíndrico,
XTZ,Tubos  con fleje/ agrupados/ armados,
XUC,Sin empaque,
XUN,Unidad,
XVA,Tanque,
XVG,"Tanque de gas (a 1,031 mbar y 15° C)",
XVI,Frasco pequeño,
XVK,Paquete transportable,
XVL,Contenedor para líquidos a granel,
XVN,Vehículo,
XVO,"Contenedor para sólido de partículas grandes a granel (""nódulos"")",
XVP,Envasado al vacío,
XVQ,Tanque para Gas licuado (a temperatura / presión anormal),
XVR,Contenedor para sólidos de partículas granulares a granel (Granos),
XVS,Contenedor de chatarra a granel,
XVY,"Contenedor para sólido de partículas finas a granel (""polvos"")",
XWA,Contenedor de granel intermedio,
XWB,Botella de mimbre,
XWC,Contenedor intermedio para gráneles y de acero,
XWD,Contenedor intermedio para gráneles y de aluminio,
XWF,Contenedor intermedio para gráneles y de metal,
XWG,Contenedor intermedio para gráneles y de acero presurizado menor a 10 kpa,
XWH,"Contenedor intermedio para gráneles y de aluminio, presurizado menor a 10 kpa",
XWJ,Contenedor intermedio para gráneles y de metal con una presión de 10 kpa,
XWK,Contenedor intermedio para gráneles y de acero para líquido,
XWL,Contenedor intermedio para gráneles y de aluminio para líquido,
XWM,Contenedor intermedio para gráneles y de metal para líquido,
XWN,Contenedor intermedio para gráneles con tejido plástico sin capa con revestimiento,
XWP,Contenedor intermedio para gráneles con tejido plástico y recubierto,
XWQ,Contenedor intermedio para gráneles con tejido plástico con revestimiento,
XWR,"Contenedor intermedio para gráneles con tejido plástico, revestido y con forro",
XWS,Contenedor intermedio para gráneles con película de plástico,
XWT,Contenedor intermedio para gráneles textil sin capa / forro,
XWU,Contenedor intermedio para gráneles de madera natural con forro interior,
XWV,Contenedor intermedio para gráneles textil recubierto,
XWW,Contenedor intermedio para gráneles textil con revestimiento,
XWX,Contenedor intermedio para gráneles textil recubierto y con forro,
XWY,Contenedor intermedio para gráneles contrachapado con revestimiento interior,
XWZ,Contenedor intermedio para gráneles de madera reconstituida con revestimiento interior,
XXA,"Bolsa de tejido plástico, sin abrigo interior ni forro",
XXB,Bolsa de tejido plástico a prueba de filtraciones,
XXC,Bolsa de tejido plástico resistente al agua,
XXD,Bolsa con película de plástico,
XXF,Bolsa textil sin capa ni forro interior,
XXG,Bolsa textil a prueba de filtraciones,
XXH,Bolsa textil resistente al agua,
XXJ,Bolsa de papel multi-pared,
XXK,"Bolsa de papel multi-pared, resistente al agua",
XYA,"Empaque compuesto, recipiente de plástico en tambor de acero",
XYB,"Empaque compuesto, recipiente de plástico en cajas de acero",
XYC,"Empaque compuesto, recipiente de plástico en tambor de aluminio",
XYD,"Empaque compuesto, recipiente de plástico en cajón de aluminio",
XYF,"Empaque compuesto, recipiente de plástico en caja de madera",
XYG,"Empaque compuesto, recipiente de plástico en tambor de madera contrachapada",
XYH,"Empaque compuesto, recipiente de plástico en caja de madera contrachapada",
XYJ,"Empaque compuesto, recipiente de plástico en tambor de fibra",
XYK,"Empaque compuesto, recipiente de plástico en caja de cartón",
XYL,"Empaque compuesto, recipiente de plástico en el tambor de plástico",
XYM,"Empaque compuesto, recipiente de plástico en caja de plástico sólido",
XYN,"Empaque compuesto, receptáculo de vidrio en tambor de acero",
XYP,"Empaque compuesto, receptáculo de vidrio en caja de cajas de acero",
XYQ,"Empaque compuesto, recipiente de vidrio en tambor de aluminio",
XYR,"Empaque compuesto, receptáculo de vidrio en caja de aluminio",
XYS,"Empaque compuesto, recipiente de vidrio en caja de madera",
XYT,"Empaque compuesto, recipiente de vidrio en tambor de madera contrachapada",
Xyv,"Empaque compuesto, recipiente de vidrio en el cesto de mimbre",
XYW,"Empaque compuesto, recipiente de vidrio en tambor de fibra",
XYX,"Empaque compuesto, recipiente de vidrio en caja de cartón",
XYY,"Empaque compuesto, recipiente de vidrio en paquete de plástico expandible",
XYZ,"Empaque compuesto, recipiente de vidrio en paquete de plástico sólido",
XZA,"Contenedor de granel intermedio, papel, multi-pared",
XZB,Bolsa grande,
XZC,"Contenedor intermedio para gráneles de papel, multi-pared y resistente al agua",
XZD,"Contenedor intermedio para gráneles de plástico rígido, con equipo estructural para sólidos",
XZF,"Contenedor intermedio para gráneles de plástico rígido, autoportante para sólidos",
XZG,"Contenedor intermedio para gráneles de plástico rígido, con equipo estructural, presurizado",
XZH,"Contenedor intermedio para gráneles de plástico rígido, autoportante y presurizado",
XZJ,"Contenedor intermedio para gráneles de plástico rígido, con equipo estructural para líquidos",
XZK,"Contenedor intermedio para gráneles de plástico rígido, autoportante, líquidos",
XZL,"Contenedor intermedio para gráneles, compuesto y de plástico rígido, sólidos",
XZM,"Contenedor intermedio para gráneles, compuesto y de plástico flexible, sólidos",
XZN,"Contenedor intermedio para gráneles, compuesto y de plástico rígido, presurizado",
XZP,"Contenedor intermedio para gráneles, compuesto y de plástico flexible, presurizado",
XZQ,"Contenedor intermedio para gráneles, compuesto y de plástico rígido, líquidos",
XZR,"Contenedor intermedio para gráneles, compuesto y de plástico flexible para líquidos",
XZS,"Contenedor intermedio para gráneles, compuesto",
XZT,Contenedor intermedio para gráneles con tablero de fibras,
XZU,Contenedor intermedio para gráneles flexible,
XZV,"Contenedor intermedio para gráneles de metal, distinto del acero",
XZW,"Contenedor intermedio para gráneles, de madera natural",
XZX,"Contenedor intermedio para gráneles, de contrachapado",
XZY,"Contenedor intermedio para gráneles, de madera reconstituida",
YDK,Yarda cuadrada,yd²
YDQ,Yarda cúbica,yd³
YL,Cien yardas lineales,
YRD,Yarda,yd
YT,Diez yardas,
Z1,Furgoneta,
Z11,Contenedor colgante ,
Z5,Arrastre,
Z6,Punto de conferencia,
Z8,Página de noticias,
ZP,Páginas,
ZZ,Mutuamente definido,
